tau,xi,xi_ratio,p_g,mean_prob_gt_u0,sd_prob_gt_u0
0.3,0.028899082568807334,0.7,480,0.1934016736149417,0.059497022994322586
0.3,0.03509174311926605,0.85,480,0.24780685948352915,0.1562093491754411
0.3,0.03922018348623853,0.95,480,0.32649586860270474,0.0968399747707844
0.3,0.043348623853211005,1.05,480,0.21712849113457214,0.01112370634247128
0.3,0.047477064220183475,1.15,480,0.2769068624649724,0.1765854314915004
0.3,0.0536697247706422,1.3,480,0.3067865234416318,0.15239720343850113
0.3,0.061926605504587146,1.5,480,0.3360663507624724,0.03903195528714519
0.3,0.08256880733944953,2.0,480,0.47043905214760245,0.08009881832313964
0.5,0.03,0.3,30,0.30031223809294005,0.04586255752000876
0.5,0.05,0.5,30,0.23776466973716986,0.020193449126335368
0.5,0.06999999999999999,0.6999999999999998,30,0.3310690320921442,0.09893290561205563
0.5,0.085,0.85,30,0.28166381011872593,0.02474833856069036
0.5,0.095,0.95,30,0.21900302169862906,0.06414054950154542
0.5,0.10500000000000001,1.05,30,0.40225130968553136,0.1508536733613092
0.5,0.11499999999999999,1.15,30,0.34400585644482706,0.12887221963753767
0.5,0.13,1.3,30,0.29430272141747843,0.00629340168087611
0.5,0.15000000000000002,1.5000000000000002,30,0.19723070722940014,0.0014750284041884158
0.5,0.2,2.0,30,0.33091556253040966,0.14653677450428476
0.5,0.03,0.3,60,0.25277947915111854,0.019964047509906227
0.5,0.05,0.5,60,0.26507622178247037,0.004781137392630454
0.5,0.06999999999999999,0.6999999999999998,60,0.1982655874943945,0.05632250789928903
0.5,0.085,0.85,60,0.3868256686248762,0.21732500577438765
0.5,0.095,0.95,60,0.16369501306410744,0.12886264520458682
0.5,0.10500000000000001,1.05,60,0.3761736103605905,0.016754299450949688
0.5,0.11499999999999999,1.15,60,0.3486236492185312,0.26690581299417443
0.5,0.13,1.3,60,0.42800407969883386,0.4650793819906467
0.5,0.15000000000000002,1.5000000000000002,60,0.43579800480870023,0.06701871459107428
0.5,0.2,2.0,60,0.3809192085462797,0.08129056532456766
0.5,0.03,0.3,120,0.260770489351995,0.1256929959318867
0.5,0.05,0.5,120,0.19783186636568284,0.0964048691852614
0.5,0.06999999999999999,0.6999999999999998,120,0.3672745679795032,0.16487393667047703
0.5,0.085,0.85,120,0.18272105297788713,0.05716336027077428
0.5,0.095,0.95,120,0.2869231052808966,0.23559089612039216
0.5,0.10500000000000001,1.05,120,0.48790778032117255,0.004235296030451399
0.5,0.11499999999999999,1.15,120,0.5194691006878143,0.387237963242661
0.5,0.13,1.3,120,0.6329082731390314,0.046675601495171734
0.5,0.15000000000000002,1.5000000000000002,120,0.4786948043275717,0.01911014990474035
0.5,0.2,2.0,120,0.3559433892797772,0.1625437224570275
0.5,0.03,0.3,240,0.07760910437904295,0.0793895139096946
0.5,0.05,0.5,240,0.1783149519885017,0.1639327446946926
0.5,0.06999999999999999,0.6999999999999998,240,0.28612497519927216,0.04405184724905695
0.5,0.085,0.85,240,0.33587965128461184,0.23025579057626963
0.5,0.095,0.95,240,0.6417913730722218,0.17339136614337497
0.5,0.10500000000000001,1.05,240,0.5206952280548813,0.058193637704410016
0.5,0.11499999999999999,1.15,240,0.38848377352413843,0.24608333354619
