tau,xi,p_g,replicate_id,post_prob_kappa_gt_u0,post_mean_kappa,xi_ratio
0.3,0.028899082568807334,120,2,0.256928166165799,0.2978199784717729,0.7
0.3,0.03509174311926605,120,1,0.2836278322634555,0.3230550731236914,0.85
0.3,0.03509174311926605,120,2,0.2899260032103588,0.32891911031823595,0.85
0.3,0.03922018348623853,120,1,0.33602169541403576,0.3708061269656239,0.95
0.3,0.03922018348623853,120,2,0.3029601057690633,0.3409474451606733,0.95
0.3,0.043348623853211005,120,1,0.33163716008756444,0.36690042510809684,1.05
0.3,0.043348623853211005,120,2,0.2862615297411864,0.3255113394257829,1.05
0.3,0.047477064220183475,120,1,0.40639405569646886,0.4311741604715469,1.15
0.3,0.047477064220183475,120,2,0.26621577850917527,0.30666726923073684,1.15
0.3,0.0536697247706422,120,1,0.28380731038157647,0.32322264746831986,1.3
0.3,0.0536697247706422,120,2,0.2190333826443367,0.26094636273511584,1.3
0.3,0.061926605504587146,120,1,0.35195099808040264,0.3848552795538819,1.5
0.3,0.061926605504587146,120,2,0.32202241163164247,0.3582776274204637,1.5
0.3,0.08256880733944953,120,1,0.32161044248089754,0.35790638368699695,2.0
0.3,0.08256880733944953,120,2,0.3115669893620689,0.34881074800981027,2.0
0.3,0.01238532110091743,240,1,0.3483686514975118,0.3831423363083332,0.3
0.3,0.01238532110091743,240,2,0.31610747309338205,0.3544572635969219,0.3
0.3,0.020642201834862383,240,1,0.12583546016141195,0.1659352005439936,0.5
0.3,0.020642201834862383,240,2,0.14169569082344602,0.18305962096791284,0.5
0.3,0.028899082568807334,240,1,0.10545945599690121,0.14344309699790248,0.7
0.3,0.028899082568807334,240,2,0.30580358396659657,0.34510124680867377,0.7
0.3,0.03509174311926605,240,1,0.18524225643342193,0.2285902678501665,0.85
0.3,0.03509174311926605,240,2,0.31417446503972746,0.3527092127657526,0.85
0.3,0.03922018348623853,240,1,0.4486890000660304,0.466266930070496,0.95
0.3,0.03922018348623853,240,2,0.3488087331128279,0.38352721566905057,0.95
0.3,0.043348623853211005,240,1,0.23167295250500383,0.2750269109698598,1.05
0.3,0.043348623853211005,240,2,0.2843936996006435,0.3253619816611687,1.05
0.3,0.047477064220183475,240,1,0.2869568479041852,0.32774637549655067,1.15
0.3,0.047477064220183475,240,2,0.3544677543208851,0.3884608745421714,1.15
0.3,0.0536697247706422,240,1,0.24414790850359347,0.2871616416401742,1.3
0.3,0.0536697247706422,240,2,0.40099974966537855,0.4279226660816723,1.3
0.3,0.061926605504587146,240,1,0.3793125313850405,0.4097779182301424,1.5
0.3,0.061926605504587146,240,2,0.37792812611026627,0.4086048999549782,1.5
0.3,0.08256880733944953,240,1,0.35211913569754605,0.38641679515745603,2.0
0.3,0.08256880733944953,240,2,0.34925207475333186,0.38391477027546783,2.0
0.3,0.01238532110091743,480,1,0.12044951443847783,0.16298685268734608,0.3
0.3,0.01238532110091743,480,2,0.4601024048747262,0.47687883861445757,0.3
0.3,0.020642201834862383,480,1,0.36948913358909474,0.4040414848725953,0.5
0.3,0.020642201834862383,480,2,0.14936685176696152,0.19435937153367727,0.5
0.3,0.028899082568807334,480,1,0.15133092519524427,0.19645084186086767,0.7
0.3,0.028899082568807334,480,2,0.23547242203463917,0.2820237085855182,0.7
0.3,0.03509174311926605,480,1,0.3582635495702208,0.3944687148938746,0.85
0.3,0.03509174311926605,480,2,0.1373501693968375,0.18145762406926635,0.85
0.3,0.03922018348623853,480,1,0.39497207145306057,0.4253265508614376,0.95
0.3,0.03922018348623853,480,2,0.2580196657523489,0.3037354073210997,0.95
0.3,0.043348623853211005,480,1,0.2249941393212614,0.2717663562298818,1.05
0.3,0.043348623853211005,480,2,0.2092628429478829,0.2561627472400422,1.05
0.3,0.047477064220183475,480,1,0.4017716185313649,0.4309006960266098,1.15
0.3,0.047477064220183475,480,2,0.15204210639857996,0.19720698550403892,1.15
0.3,0.0536697247706422,480,1,0.4145476194268618,0.44125352926097766,1.3
0.3,0.0536697247706422,480,2,0.1990254274564018,0.24587394999064344,1.3
0.3,0.061926605504587146,480,1,0.3084665904959619,0.35057211903846663,1.5
0.3,0.061926605504587146,480,2,0.3636661110289829,0.39909074750246787,1.5
0.3,0.08256880733944953,480,1,0.5270774697489238,0.5256336213833043,2.0
0.3,0.08256880733944953,480,2,0.41380063454628113,0.44065256776694356,2.0
0.5,0.03,30,1,0.26788251266798374,0.31021291858029676,0.3
0.5,0.03,30,2,0.3327419635178963,0.36553329130444207,0.3
0.5,0.05,30,1,0.2520435945499472,0.29624084176733567,0.5
0.5,0.05,30,2,0.22348574492439258,0.2705412019983808,0.5
0.5,0.06999999999999999,30,1,0.2611129036513711,0.30426482448392134,0.6999999999999998
0.5,0.06999999999999999,30,2,0.4010251605329174,0.42079727497227004,0.6999999999999998
0.5,0.085,30,1,0.26416409209936126,0.3069500543466531,0.85
0.5,0.085,30,2,0.2991635281380906,0.3372592127102556,0.85
0.5,0.095,30,1,0.17364880419705486,0.22392807678444723,0.95
0.5,0.095,30,2,0.26435723920020326,0.30711979640642983,0.95
0.5,0.10500000000000001,30,1,0.5089209650862135,0.502520055878327,1.05
0.5,0.10500000000000001,30,2,0.29558165428484917,0.3341977544680682,1.05
0.5,0.11499999999999999,30,1,0.4351322768570921,0.44734773397937266,1.15
0.5,0.11499999999999999,30,2,0.252879436032562,0.2969830318056655,1.15
0.5,0.13,30,1,0.29875282842275674,0.33690863907929436,1.3
0.5,0.13,30,2,0.2898526144122001,0.3292823366240761,1.3
0.5,0.15000000000000002,30,1,0.19827370981644454,0.24726243734330644,1.5000000000000002
0.5,0.15000000000000002,30,2,0.19618770464235574,0.24530965274681313,1.5000000000000002
0.5,0.2,30,1,0.22729841558522595,0.27401181949226505,2.0
0.5,0.2,30,2,0.4345327094755934,0.4468868482308169,2.0
0.5,0.03,60,1,0.26689619252530367,0.31265665126298486,0.3
0.5,0.03,60,2,0.23866276577693346,0.287644661555716,0.3
0.5,0.05,60,1,0.26845699645458393,0.3140203981000411,0.5
0.5,0.05,60,2,0.2616954471103568,0.30809850793977167,0.5
0.5,0.06999999999999999,60,1,0.1584395602253743,0.21248892651396917,0.6999999999999998
0.5,0.06999999999999999,60,2,0.23809161476341464,0.2871317490879586,0.6999999999999998
0.5,0.085,60,1,0.23315368332040112,0.28268542357837945,0.85
0.5,0.085,60,2,0.5404976539293513,0.5268163386156526,0.85
0.5,0.095,60,1,0.25481466332990693,0.30203434221016734,0.95
0.5,0.095,60,2,0.07257536279830798,0.12210160872827068,0.95
0.5,0.10500000000000001,60,1,0.3880206891163871,0.41325634881470485,1.05
0.5,0.10500000000000001,60,2,0.36432653160479395,0.3943596356580735,1.05
0.5,0.11499999999999999,60,1,0.5373545595248205,0.5246076126742123,1.15
0.5,0.11499999999999999,60,2,0.15989273891224193,0.21391359038599037,1.15
0.5,0.13,60,1,0.09914329490319888,0.15165319543286643,1.3
0.5,0.13,60,2,0.7568648644944689,0.6684158419897976,1.3
0.5,0.15000000000000002,60,1,0.48318739236245467,0.4856986572310644,1.5000000000000002
0.5,0.15000000000000002,60,2,0.3884086172549458,0.4135627700579191,1.5000000000000002
0.5,0.2,60,1,0.3234380985587899,0.3608857144703367,2.0
0.5,0.2,60,2,0.43840031853376954,0.4522764125532537,2.0
0.5,0.03,120,1,0.17189211958090478,0.23241384557075326,0.3
0.5,0.03,120,2,0.34964885912308524,0.3883464682642939,0.3
0.5,0.05,120,1,0.2660004031059832,0.318521036063832,0.5
0.5,0.05,120,2,0.1296633296253825,0.19025764978950743,0.5
0.5,0.06999999999999999,120,1,0.4838580466401189,0.49010165478564205,0.6999999999999998
0.5,0.06999999999999999,120,2,0.2506910893188875,0.30511705835102515,0.6999999999999998
0.5,0.085,120,1,0.2231416526607613,0.2804457574055086,0.85
0.5,0.085,120,2,0.14230045329501295,0.20316162846085345,0.85
0.5,0.095,120,1,0.45351102551344136,0.46808963209048404,0.95
0.5,0.095,120,2,0.12033518504835179,0.18055162062222857,0.95
0.5,0.10500000000000001,120,1,0.4849129737777079,0.49085703989559226,1.05
0.5,0.10500000000000001,120,2,0.4909025868646372,0.4951336768947967,1.05
0.5,0.11499999999999999,120,1,0.7932876904295669,0.6908388099686502,1.15
0.5,0.11499999999999999,120,2,0.24565051094606166,0.30065722415153284,1.15
0.5,0.13,120,1,0.5999036388058345,0.5695601128654957,1.3
0.5,0.13,120,2,0.6659129074722283,0.6119394338107629,1.3
0.5,0.15000000000000002,120,1,0.49220772091470505,0.4960628016591042,1.5000000000000002
