scenario,replicate_id,variant,group_sizes,group_signal,group_amplitude,status,converged,fit_attempts,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_null,mse_signal,mse_overall,group_auroc
moderate_group_amplitude,6,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,28.954501000000164,1.007375717163086,496.6990689914343,0.000625,,0.0012552822139872597,0.026512699628179644,0.016409732662502688,1.0
moderate_group_amplitude,7,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,33.81673219999357,1.0056654214859009,519.6243252250765,0.001875,,0.0012498032525910439,0.020675583195034278,0.012905271218056983,1.0
moderate_group_amplitude,7,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,30.50789769999392,1.0122376680374146,678.0562848977919,0.001875,,0.0012821610243509672,0.020434290963466398,0.012773438987820225,1.0
moderate_group_amplitude,8,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,36.69089800000074,1.012444019317627,487.9541766585569,0.0009375,,0.0043586586115261245,0.020302354972476885,0.013924876428096583,1.0
moderate_group_amplitude,8,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,25.076330800002324,1.0069465637207031,522.8921027873391,0.0078125,,0.00410039257494598,0.020049714403071277,0.013669985671821159,1.0
strong_group_amplitude,1,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,36.42799840000225,1.0098575353622437,510.5202040871666,0.00375,,0.0012009641770704856,0.013710140141720657,0.008706469755860589,1.0
strong_group_amplitude,1,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",error,False,6,16.885733400005847,154091.15625,2.0001250087403255,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),nan,nan,nan,nan
strong_group_amplitude,2,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,41.93379670000286,1.0062600374221802,500.8383309887358,0.004375,,0.0017573710760198623,0.022825791161367258,0.014398423127228301,1.0
strong_group_amplitude,2,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,34.134722300004796,1.0072636604309082,454.62826294688443,0.0046875,,0.0018213682078113437,0.022800001111811286,0.01440854795021131,1.0
strong_group_amplitude,3,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,36.48472710000351,1.0104366540908813,483.2556940903577,0.00875,,0.00033599608399184926,0.011076989675588919,0.006780592238950092,1.0
