setting_id,signal,design_type,rho_within,target_snr,sigma2,replicate_id,method,status,converged,fit_attempts,kappa_null_mean,kappa_signal_mean,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_null,mse_signal,mse_overall,avg_ci_length,coverage_95,lpd_test,probe_cfg
2,distributed,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,0.20462570000381675,1.0557859910645722,65.22193845060669,,,0.0003278273834839897,0.00690573945367288,0.000854060349099101,0.21289259263822335,1.0,-1.881171139070384,c2_w500_d500
2,distributed,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,0.2066387999948347,1.0464035155701894,79.43920717339005,,,0.00020098556245013618,0.01330198006991009,0.0012490651230469324,0.2015708957124058,1.0,-1.3579435719732342,c2_w500_d500
1,concentrated,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,0.40808000000834,1.0245700037859946,153.79856847489356,,,0.0017456177398716415,0.013227730172456159,0.006338462712905449,0.349718251681885,1.0,-1.3441782187797586,c2_w1000_d1000
1,concentrated,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,0.4084526999940863,1.0309698066439983,114.28256696894911,,,0.00123419336509984,0.01849976645721806,0.008140422601947127,0.3407794928260261,0.96,-1.4648620088262412,c2_w1000_d1000
1,concentrated,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,0.4187647999933688,1.0261776998593062,106.09698690530993,,,0.003884136456121777,0.01582526294542814,0.008660587051844327,0.35511710108973027,0.96,-1.65076805468804,c2_w1000_d1000
1,concentrated,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,0.40290169999934733,1.0945790906515427,109.24185074245233,,,0.004125843152110778,0.018330148715796156,0.009807565377584931,0.3142274093368703,0.92,-1.7181975654270123,c2_w1000_d1000
1,concentrated,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,0.41814579999481793,1.0456867544509838,107.30516395567476,,,0.00041757240072499556,0.014420999638331322,0.006018943295767527,0.3261460781410242,0.96,-1.453998078431089,c2_w1000_d1000
2,distributed,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,0.4150200000003679,1.030951579918061,91.56221814211199,,,0.00034544798338958664,0.0014715690651573808,0.00043553766993101024,0.21440312178858953,1.0,-1.33390310346949,c2_w1000_d1000
2,distributed,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,0.40742499999760184,1.0330309814942773,104.3628682045617,,,0.00016918783993908324,0.014085993077505955,0.0012825322589444332,0.19253517575070123,1.0,-1.5330223663877385,c2_w1000_d1000
2,distributed,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,0.41776739999477286,1.036289599513306,122.69859219899746,,,0.0012466672221010612,0.011613503226029193,0.0020760141024153116,0.2663542779640438,1.0,-1.3828526679267008,c2_w1000_d1000
